RegionName,State,Metro,CountyName,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sea Ranch Lakes,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1322.5,1445.9,1669.3,1609.3,1741.6,1780.6,1884.4,1833.3,1950.8
Golf,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,3579,3488.7,3439.3,3613.2,3647.8,3899.8,4072.8,4279.6,4664.6
Palm Beach Shores,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,2696.5,2357.7,2049.3,2178.3,2604.8,2732.9,2972.2,2961.6,2854.8
Limestone Creek,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1694.5,1659.9,1619.7,1656.3,1806.6,1915.9,2021,2027.9,1991.4
Juno Ridge,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1377,1444,1506.1,1551,1607.2,1638.8,1661.2,1696.1,1631.4
South Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,2302.5,2055.6,1859.3,1989.1,2195.9,2386,2453.3,2597.6,2406.7
Manalapan,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,3935.5,3790.4,3458.8,3629.5,3771.3,4059.5,4356.1,4106.1,3941.2
Franklin Park,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1177,1292.6,1308.5,1353.8,1386.2,1449.6,1483.1,1516.9,1539.8
Glen Ridge,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,2160.5,2053.2,1987.8,2081,2238.1,2321.3,2407.5,2358.2,2357.7
Stacey Street,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1542,1479.3,1446.3,1446.3,1446.4,1450.3,1473.3,1479.4,1494.1
Golden Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,6363,6495.3,7604.8,8607.3,8442.5,9447.9,10490,5062.3,4525.3
Indian Creek,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,34323,29764.2,27433.9,24428.9,20103.9,15655.4,15742.6,15300.6,15038
Jupiter Inlet Colony,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,4588.5,3720.9,3363.5,3282,3620.9,4050.3,4788.4,4896.8,4940.8
Briny Breezes,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1189.5,1243.4,1233.3,1288.7,1468.3,1528.6,1584.3,1628.6,1656.3
Fisher Island,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,3150,3058.7,3035.4,2862.5,2967.8,3418.4,3482.8,3340.3,3411.8
Cloud Lake,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1403,1455.9,1446.7,1503.6,1670.8,1668.1,1740.6,1702.6,1629.8
Lazy Lake,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,3062,2794.8,2977.3,2890.5,3002,3247.3,1689.4,1692,1680.1
TOTAL ,,Miami-Fort Lauderdale-West Palm Beach,,1907,1893.7,1903.9,1954.5,2011.8,2073.3,2150.7,2107.9,2106
